"LLEGADA","DISTRITO.LOCAL","MUNICIPIO","SECCION","CASILLA","PAN","PRI","PRD","PVEM","PT","PANAL","MORENA","HUMANISTA","ENCUENTRO.SOCIAL","PRI.PVEM.PANAL","PRI.PVEM","PRI.PANAL","PVEM.PANAL","COALICION","CANDIDATO.NO.REGISTRADO","VOTOS.NULOS","TOTAL.VOTOS.VALIDOS","VOTACION.TOTAL.EMITIDA"
231,"SAN LUIS RIO COLORADO I    ","SAN LUIS RIO COLORADO",706,"BASICA",111,78,2,5,0,2,9,5,7,0,1,0,0,86,0,8,220,228
346,"SAN LUIS RIO COLORADO I    ","SAN LUIS RIO COLORADO",738,"BASICA",145,127,7,41,3,5,26,4,11,0,7,0,0,180,0,10,376,386
288,"SAN LUIS RIO COLORADO I    ","SAN LUIS RIO COLORADO",737,"EXTRAORDINARIA 1 CONTIGUA 1",134,128,7,13,3,3,23,3,7,0,0,0,0,144,0,5,321,326
23,"SAN LUIS RIO COLORADO I    ","SAN LUIS RIO COLORADO",667,"BASICA",135,84,9,4,0,3,15,0,8,0,4,0,0,95,0,7,262,269
152,"SAN LUIS RIO COLORADO I    ","SAN LUIS RIO COLORADO",666,"CONTIGUA 1",135,110,6,1,3,3,9,5,3,3,0,0,0,117,0,7,278,285
322,"SAN LUIS RIO COLORADO I    ","SAN LUIS RIO COLORADO",719,"CONTIGUA 1",102,81,6,0,2,0,12,2,8,0,0,0,0,81,0,6,213,219
209,"SAN LUIS RIO COLORADO I    ","SAN LUIS RIO COLORADO",717,"BASICA",96,54,5,5,0,4,16,3,6,0,1,0,0,64,0,2,190,192
201,"SAN LUIS RIO COLORADO I    ","SAN LUIS RIO COLORADO",707,"CONTIGUA 1",106,75,4,4,3,3,9,3,1,1,3,0,0,86,0,11,212,223
147,"SAN LUIS RIO COLORADO I    ","SAN LUIS RIO COLORADO",658,"BASICA",94,59,2,5,0,6,7,0,3,0,0,1,0,71,0,3,177,180
264,"SAN LUIS RIO COLORADO I    ","SAN LUIS RIO COLORADO",685,"CONTIGUA 1",156,82,4,6,1,5,11,4,7,0,4,0,0,97,0,9,280,289
186,"SAN LUIS RIO COLORADO I    ","SAN LUIS RIO COLORADO",727,"BASICA",125,67,2,14,5,1,23,6,5,0,0,0,0,82,0,11,248,259
320,"SAN LUIS RIO COLORADO I    ","SAN LUIS RIO COLORADO",700,"BASICA",78,72,1,6,2,2,8,2,5,1,4,0,0,85,0,1,181,182
64,"SAN LUIS RIO COLORADO I    ","SAN LUIS RIO COLORADO",738,"CONTIGUA 1",151,113,2,38,0,2,19,6,8,1,5,1,1,161,0,5,347,352
